species,tissue_class,tissue_type,cell_name,marker,pmid
Mouse,Eye,Conjunctiva,Conjunctival cell,Cd74,35361907
Mouse,Eye,Conjunctiva,Macrophage,Cd74,35361907
Mouse,Eye,Conjunctiva,Myeloid cell,CD11c,35361907
Mouse,Eye,Conjunctiva,B cell,Igkc,35361907
Mouse,Eye,Conjunctiva,Macrophage,Lyz2,35361907
Mouse,Eye,Conjunctiva,Mast cell,Cpa3,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,Cd74,35361907
Mouse,Eye,Conjunctiva,Monocyte,CSF1R,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,Ccr7,35361907
Mouse,Eye,Conjunctiva,Conventional dendritic cell(cDC),Cst3,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,Marcksl1,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,H2-Ab1,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,Cst3,35361907
Mouse,Eye,Conjunctiva,T cell,Ctla4,35361907
Mouse,Esophagus,Esophagus,Basal cell,Krt15,35443762
Mouse,Esophagus,Esophagus,Basal cell,Trp63,35443762
Mouse,Esophagus,Esophagus,Basal cell,Sox2,35443762
