cell_ontology_class,free_annotation,number of cells
transit amplifying cell of small intestine,intestinal transient amplifying cell,127
transit amplifying cell of small intestine,transit amplifying cell of small intestine,100
type i nk t cell,NK T cell,3758
type i nk t cell,nkt cell,1038
type i nk t cell,type I NK T cell,518
type i pneumocyte,type i pneumocyte,211
type ii pneumocyte,type ii pneumocyte,9146
vascular associated smooth muscle cell,Vascular smooth muscle,1829
vascular associated smooth muscle cell,Vasuclar Smooth Muscle Cell,71
vascular associated smooth muscle cell,vascular associated smooth muscle cell,771
vein endothelial cell,Vein Cell (Endothelial Cell),263
vein endothelial cell,vascular venous endothelial cell,1442
vein endothelial cell,vein endothelial cell,1448
vein endothelial cell,vein_endothelial_cell,226
